converted from lammps dump file
 
 46656 atoms
 
1 atom types
 
         -0.2154440000          50.6907000000  xlo xhi
         -0.2154440000          50.6907000000  ylo yhi
         -0.2154440000          50.6907000000  zlo zhi
 
  Masses
 
  1 12.0107
 
  Atoms
 
653 1 47.9324 6.22145 48.1563
654 1 0.580325 49.6904 50.3785
655 1 9.99944 10.791 0.744124
656 1 22.4982 13.7031 5.99731
657 1 22.0153 7.45898 1.30916
658 1 30.2196 10.9046 44.031
659 1 42.3246 14.4217 47.3047
660 1 3.12983 13.7899 2.55399
661 1 8.92409 22.9885 3.96368
662 1 17.8868 20.0718 45.3084
663 1 26.8784 23.8298 47.8271
664 1 34.0309 20.3348 1.51644
665 1 43.8386 19.8806 2.39298
666 1 45.4063 19.518 -0.193307
667 1 5.21098 25.7222 5.86048
668 1 17.5549 24.4459 2.21312
669 1 21.9173 34.779 48.578
670 1 35.9517 32.058 46.9403
671 1 40.1542 34.454 0.219273
672 1 47.9108 27.4021 5.40658
673 1 6.22539 39.6391 50.0997
674 1 16.1837 34.4293 44.9453
675 1 17.2515 38.3124 2.42032
676 1 37.1926 34.1681 42.7905
677 1 41.7948 37.019 1.02321
678 1 49.4297 36.5525 0.622256
679 1 13.5278 48.0992 0.0593068
680 1 16.2651 50.007 48.7775
681 1 25.7565 46.3172 0.403404
682 1 37.2343 49.2353 49.3387
683 1 42.9322 48.9773 0.802468
684 1 1.95733 48.7836 3.27462
685 1 10.1457 6.82442 6.49289
686 1 19.2075 6.06793 7.7741
687 1 28.3419 3.84713 6.18385
688 1 31.5674 2.67005 10.9698
689 1 46.022 4.69979 14.6806
690 1 47.3009 0.802079 6.35522
691 1 8.73225 10.4351 7.96015
692 1 17.8835 10.3304 9.22425
693 1 28.7423 14.16 9.09672
694 1 32.9183 16.5131 7.58036
695 1 42.1811 11.2256 5.27527
696 1 2.74462 9.12775 9.69848
697 1 2.06357 18.7344 13.7126
698 1 13.9766 26.1103 6.25428
699 1 22.4697 25.5284 9.84749
700 1 30.6514 20.9368 3.70541
701 1 44.2793 19.1272 11.1668
702 1 0.92631 19.6011 9.78829
703 1 9.92892 27.9695 10.8412
704 1 19.8774 29.0138 7.89113
705 1 23.6065 23.74 10.7248
706 1 34.8032 29.3711 7.95706
707 1 41.5196 29.6236 10.064
708 1 48.5804 30.7982 13.4905
709 1 8.19273 39.5832 9.66675
710 1 14.1246 32.1574 7.13877
711 1 24.4293 42.0425 12.0234
